doc_id,title,language,published,source,url
tem_2022_12,"Työllisyyskatsaus, joulukuu 2022",fi,2022-12-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8349
tem_2023_10,"Työllisyyskatsaus, lokakuu 2023",fi,2023-10-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8453
tem_2024_04,"Työllisyyskatsaus, huhtikuu 2024",fi,2024-04-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8493
tem_2023_09,"Työllisyyskatsaus, syyskuu 2023",fi,2023-09-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8575
tem_2024_01,"Työllisyyskatsaus, tammikuu 2024",fi,2024-01-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8541
tem_2023_01,"Työllisyyskatsaus, tammikuu 2023",fi,2023-01-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8385
tem_2023_04,"Työllisyyskatsaus, huhtikuu 2023",fi,2023-04-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8393
tem_2023_08,"Työllisyyskatsaus, elokuu 2023",fi,2023-08-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8075
tem_2024_05,"Työllisyyskatsaus, toukokuu 2024",fi,2024-05-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8511
tem_2021_12,"Työllisyyskatsaus, joulukuu 2021",fi,2021-12-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8164
tem_2023_07,"Työllisyyskatsaus, heinäkuu 2023",fi,2023-07-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8420
tem_2023_05,"Työllisyyskatsaus, toukokuu 2023",fi,2023-05-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8447
tem_2023_06,"Työllisyyskatsaus, kesäkuu 2023",fi,2023-06-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8417
tem_2021_04,"Työllisyyskatsaus, huhtikuu 2021",fi,2021-04-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8077
