table_id,alue_16_20180101,timeperiod_q,contentscode,alue_16_20180101_text,timeperiod_q_text,contentscode_text,value,value_str,source,updated
11n1,SA2,2015Q1,atp_lkm,SA2 Southern Finland,2015Q1,Job vacancies,7500,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2015Q2,atp_lkm,SA2 Southern Finland,2015Q2,Job vacancies,5100,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2015Q3,atp_lkm,SA2 Southern Finland,2015Q3,Job vacancies,4100,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2015Q4,atp_lkm,SA2 Southern Finland,2015Q4,Job vacancies,4000,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2016Q1,atp_lkm,SA2 Southern Finland,2016Q1,Job vacancies,8500,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2016Q2,atp_lkm,SA2 Southern Finland,2016Q2,Job vacancies,4800,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2016Q3,atp_lkm,SA2 Southern Finland,2016Q3,Job vacancies,5700,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2016Q4,atp_lkm,SA2 Southern Finland,2016Q4,Job vacancies,3200,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2017Q1,atp_lkm,SA2 Southern Finland,2017Q1,Job vacancies,8800,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2017Q2,atp_lkm,SA2 Southern Finland,2017Q2,Job vacancies,8300,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2017Q3,atp_lkm,SA2 Southern Finland,2017Q3,Job vacancies,5600,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2017Q4,atp_lkm,SA2 Southern Finland,2017Q4,Job vacancies,7700,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2018Q1,atp_lkm,SA2 Southern Finland,2018Q1,Job vacancies,8700,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2018Q2,atp_lkm,SA2 Southern Finland,2018Q2,Job vacancies,9800,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2018Q3,atp_lkm,SA2 Southern Finland,2018Q3,Job vacancies,9200,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2018Q4,atp_lkm,SA2 Southern Finland,2018Q4,Job vacancies,8000,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2019Q1,atp_lkm,SA2 Southern Finland,2019Q1,Job vacancies,8800,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2019Q2,atp_lkm,SA2 Southern Finland,2019Q2,Job vacancies,7000,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2019Q3,atp_lkm,SA2 Southern Finland,2019Q3,Job vacancies,7400,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2019Q4,atp_lkm,SA2 Southern Finland,2019Q4,Job vacancies,6700,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2020Q1,atp_lkm,SA2 Southern Finland,2020Q1,Job vacancies,11900,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2020Q2,atp_lkm,SA2 Southern Finland,2020Q2,Job vacancies,7000,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2020Q3,atp_lkm,SA2 Southern Finland,2020Q3,Job vacancies,7800,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2020Q4,atp_lkm,SA2 Southern Finland,2020Q4,Job vacancies,6000,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2021Q1,atp_lkm,SA2 Southern Finland,2021Q1,Job vacancies,10300,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2021Q2,atp_lkm,SA2 Southern Finland,2021Q2,Job vacancies,10600,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2021Q3,atp_lkm,SA2 Southern Finland,2021Q3,Job vacancies,10100,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2021Q4,atp_lkm,SA2 Southern Finland,2021Q4,Job vacancies,9000,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2022Q1,atp_lkm,SA2 Southern Finland,2022Q1,Job vacancies,19200,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2022Q2,atp_lkm,SA2 Southern Finland,2022Q2,Job vacancies,14000,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2022Q3,atp_lkm,SA2 Southern Finland,2022Q3,Job vacancies,8200,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2022Q4,atp_lkm,SA2 Southern Finland,2022Q4,Job vacancies,8300,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2023Q1,atp_lkm,SA2 Southern Finland,2023Q1,Job vacancies,13200,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
