table_id,series_family,role,series_id,dimensions_json,forecast_scope,measure_code,is_forecast_target,is_auxiliary_feature,duplicate_group,authoritative_source,n_periods,n_non_null,coverage_ratio,zero_fraction,variance,time_first,time_last,selected,selection_reason
12r5,KEHA_geography,geographic_target,12r5::Alue=ELY12|contentscode=UUDETAVP,"{""Alue"": ""ELY12"", ""contentscode"": ""UUDETAVP""}",ely_region,UUDETAVP,False,True,,12r5,70,70,1.0,0.0,599349.2481632653,2009Q1,2026Q2,True,accepted
12r5,KEHA_geography,geographic_target,12r5::Alue=ELY13|contentscode=AVPAIKATLOPUSSA,"{""Alue"": ""ELY13"", ""contentscode"": ""AVPAIKATLOPUSSA""}",ely_region,AVPAIKATLOPUSSA,False,True,,12r5,70,70,1.0,0.0,3577331.226326531,2009Q1,2026Q2,True,accepted
12r5,KEHA_geography,geographic_target,12r5::Alue=ELY13|contentscode=UUDETAVP,"{""Alue"": ""ELY13"", ""contentscode"": ""UUDETAVP""}",ely_region,UUDETAVP,False,True,,12r5,70,70,1.0,0.0,2222882.0010204082,2009Q1,2026Q2,True,accepted
12r5,KEHA_geography,geographic_target,12r5::Alue=ELY14|contentscode=AVPAIKATLOPUSSA,"{""Alue"": ""ELY14"", ""contentscode"": ""AVPAIKATLOPUSSA""}",ely_region,AVPAIKATLOPUSSA,False,True,,12r5,70,70,1.0,0.0,117253.45632653059,2009Q1,2026Q2,True,accepted
12r5,KEHA_geography,geographic_target,12r5::Alue=ELY14|contentscode=UUDETAVP,"{""Alue"": ""ELY14"", ""contentscode"": ""UUDETAVP""}",ely_region,UUDETAVP,False,True,,12r5,70,70,1.0,0.0,79239.40428571428,2009Q1,2026Q2,True,accepted
12r5,KEHA_geography,geographic_target,12r5::Alue=ELY15|contentscode=AVPAIKATLOPUSSA,"{""Alue"": ""ELY15"", ""contentscode"": ""AVPAIKATLOPUSSA""}",ely_region,AVPAIKATLOPUSSA,False,True,,12r5,70,70,1.0,0.0,1564891.8410204083,2009Q1,2026Q2,True,accepted
12r5,KEHA_geography,geographic_target,12r5::Alue=ELY15|contentscode=UUDETAVP,"{""Alue"": ""ELY15"", ""contentscode"": ""UUDETAVP""}",ely_region,UUDETAVP,False,True,,12r5,70,70,1.0,0.0,903528.547142857,2009Q1,2026Q2,True,accepted
12r5,KEHA_geography,geographic_target,12r5::Alue=ELY16|contentscode=AVPAIKATLOPUSSA,"{""Alue"": ""ELY16"", ""contentscode"": ""AVPAIKATLOPUSSA""}",ely_region,AVPAIKATLOPUSSA,False,True,,12r5,70,70,1.0,0.0,14887.375510204081,2009Q1,2026Q2,True,accepted
12r5,KEHA_geography,geographic_target,12r5::Alue=ELY16|contentscode=UUDETAVP,"{""Alue"": ""ELY16"", ""contentscode"": ""UUDETAVP""}",ely_region,UUDETAVP,False,True,,12r5,70,70,1.0,0.0,7594.743877551019,2009Q1,2026Q2,True,accepted
12r5,KEHA_geography,geographic_target,12r5::Alue=ELY80|contentscode=AVPAIKATLOPUSSA,"{""Alue"": ""ELY80"", ""contentscode"": ""AVPAIKATLOPUSSA""}",ely_region,AVPAIKATLOPUSSA,False,True,,12r5,70,70,1.0,0.9142857142857143,1086573.8481632653,2009Q1,2026Q2,False,mostly_zero
12r5,KEHA_geography,geographic_target,12r5::Alue=ELY80|contentscode=UUDETAVP,"{""Alue"": ""ELY80"", ""contentscode"": ""UUDETAVP""}",ely_region,UUDETAVP,False,True,,12r5,70,70,1.0,0.9142857142857143,1176312.2440816327,2009Q1,2026Q2,False,mostly_zero
12r5,KEHA_geography,geographic_target,12r5::Alue=ELYJO|contentscode=AVPAIKATLOPUSSA,"{""Alue"": ""ELYJO"", ""contentscode"": ""AVPAIKATLOPUSSA""}",ely_region,AVPAIKATLOPUSSA,False,True,,12r5,70,70,1.0,0.9285714285714286,3140534.468571428,2009Q1,2026Q2,False,mostly_zero
12r5,KEHA_geography,geographic_target,12r5::Alue=ELYJO|contentscode=UUDETAVP,"{""Alue"": ""ELYJO"", ""contentscode"": ""UUDETAVP""}",ely_region,UUDETAVP,False,True,,12r5,70,70,1.0,0.9285714285714286,4796642.445714286,2009Q1,2026Q2,False,mostly_zero
12r5,KEHA_geography,geographic_target,12r5::Alue=KU005|contentscode=AVPAIKATLOPUSSA,"{""Alue"": ""KU005"", ""contentscode"": ""AVPAIKATLOPUSSA""}",municipality,AVPAIKATLOPUSSA,False,True,,12r5,70,70,1.0,0.0,1641.478367346939,2009Q1,2026Q2,True,accepted
12r5,KEHA_geography,geographic_target,12r5::Alue=KU005|contentscode=UUDETAVP,"{""Alue"": ""KU005"", ""contentscode"": ""UUDETAVP""}",municipality,UUDETAVP,False,True,,12r5,70,70,1.0,0.0,765.2083673469388,2009Q1,2026Q2,True,accepted
12r5,KEHA_geography,geographic_target,12r5::Alue=KU009|contentscode=AVPAIKATLOPUSSA,"{""Alue"": ""KU009"", ""contentscode"": ""AVPAIKATLOPUSSA""}",municipality,AVPAIKATLOPUSSA,False,True,,12r5,70,35,0.5,0.17142857142857143,18.933877551020416,2009Q1,2026Q2,False,insufficient_non_null_quarters
12r5,KEHA_geography,geographic_target,12r5::Alue=KU009|contentscode=UUDETAVP,"{""Alue"": ""KU009"", ""contentscode"": ""UUDETAVP""}",municipality,UUDETAVP,False,True,,12r5,70,33,0.4714285714285714,0.15151515151515152,36.57483930211203,2009Q1,2026Q2,False,insufficient_non_null_quarters
12r5,KEHA_geography,geographic_target,12r5::Alue=KU010|contentscode=AVPAIKATLOPUSSA,"{""Alue"": ""KU010"", ""contentscode"": ""AVPAIKATLOPUSSA""}",municipality,AVPAIKATLOPUSSA,False,True,,12r5,70,70,1.0,0.0,26546.72673469388,2009Q1,2026Q2,True,accepted
12r5,KEHA_geography,geographic_target,12r5::Alue=KU010|contentscode=UUDETAVP,"{""Alue"": ""KU010"", ""contentscode"": ""UUDETAVP""}",municipality,UUDETAVP,False,True,,12r5,70,70,1.0,0.0,14087.869591836738,2009Q1,2026Q2,True,accepted
12r5,KEHA_geography,geographic_target,12r5::Alue=KU016|contentscode=AVPAIKATLOPUSSA,"{""Alue"": ""KU016"", ""contentscode"": ""AVPAIKATLOPUSSA""}",municipality,AVPAIKATLOPUSSA,False,True,,12r5,70,67,0.9571428571428572,0.0,1174.177767877033,2009Q1,2026Q2,True,accepted
12r5,KEHA_geography,geographic_target,12r5::Alue=KU016|contentscode=UUDETAVP,"{""Alue"": ""KU016"", ""contentscode"": ""UUDETAVP""}",municipality,UUDETAVP,False,True,,12r5,70,70,1.0,0.0,1149.8048979591838,2009Q1,2026Q2,True,accepted
12r5,KEHA_geography,geographic_target,12r5::Alue=KU018|contentscode=AVPAIKATLOPUSSA,"{""Alue"": ""KU018"", ""contentscode"": ""AVPAIKATLOPUSSA""}",municipality,AVPAIKATLOPUSSA,False,True,,12r5,70,57,0.8142857142857143,0.0,87.71991381963682,2009Q1,2026Q2,True,accepted
12r5,KEHA_geography,geographic_target,12r5::Alue=KU018|contentscode=UUDETAVP,"{""Alue"": ""KU018"", ""contentscode"": ""UUDETAVP""}",municipality,UUDETAVP,False,True,,12r5,70,64,0.9142857142857143,0.0,268.462646484375,2009Q1,2026Q2,True,accepted
12r5,KEHA_geography,geographic_target,12r5::Alue=KU019|contentscode=AVPAIKATLOPUSSA,"{""Alue"": ""KU019"", ""contentscode"": ""AVPAIKATLOPUSSA""}",municipality,AVPAIKATLOPUSSA,False,True,,12r5,70,56,0.8,0.0,152.1705994897959,2009Q1,2026Q2,True,accepted
12r5,KEHA_geography,geographic_target,12r5::Alue=KU019|contentscode=UUDETAVP,"{""Alue"": ""KU019"", ""contentscode"": ""UUDETAVP""}",municipality,UUDETAVP,False,True,,12r5,70,63,0.9,0.0,160.81078357268828,2009Q1,2026Q2,True,accepted
12r5,KEHA_geography,geographic_target,12r5::Alue=KU020|contentscode=AVPAIKATLOPUSSA,"{""Alue"": ""KU020"", ""contentscode"": ""AVPAIKATLOPUSSA""}",municipality,AVPAIKATLOPUSSA,False,True,,12r5,70,70,1.0,0.0,3111.648163265306,2009Q1,2026Q2,True,accepted
12r5,KEHA_geography,geographic_target,12r5::Alue=KU020|contentscode=UUDETAVP,"{""Alue"": ""KU020"", ""contentscode"": ""UUDETAVP""}",municipality,UUDETAVP,False,True,,12r5,70,70,1.0,0.0,4863.690612244897,2009Q1,2026Q2,True,accepted
