table_id,Alue,timeperiod_m,contentscode,timeperiod_q,Alue_text,timeperiod_m_text,contentscode_text,value,value_str,source,updated,agg_source_months
12r5,SSS,,AVPAIKATLOPUSSA,2019Q4,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),54040,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2019M12
12r5,SSS,,UUDETAVP,2019Q4,WHOLE COUNTRY,,New vacancies during the month (number),55418,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2019M12
12r5,SSS,,AVPAIKATLOPUSSA,2020Q1,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),64743,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2020M03
12r5,SSS,,UUDETAVP,2020Q1,WHOLE COUNTRY,,New vacancies during the month (number),63475,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2020M03
12r5,SSS,,AVPAIKATLOPUSSA,2020Q2,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),39834,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2020M06
12r5,SSS,,UUDETAVP,2020Q2,WHOLE COUNTRY,,New vacancies during the month (number),47721,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2020M06
12r5,SSS,,AVPAIKATLOPUSSA,2020Q3,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),47930,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2020M09
12r5,SSS,,UUDETAVP,2020Q3,WHOLE COUNTRY,,New vacancies during the month (number),58054,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2020M09
12r5,SSS,,AVPAIKATLOPUSSA,2020Q4,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),47184,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2020M12
12r5,SSS,,UUDETAVP,2020Q4,WHOLE COUNTRY,,New vacancies during the month (number),50409,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2020M12
12r5,SSS,,AVPAIKATLOPUSSA,2021Q1,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),79299,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2021M03
